HMO	food_responsiveness_pearson_coefficient	food_responsiveness_pearson_p_value	food_responsiveness_beta	food_responsiveness_standardized_beta	food_responsiveness_f_stat	food_responsiveness_numdf	food_responsiveness_dendf	food_responsiveness_rsq	food_responsiveness_deltarsq	food_responsiveness_pval	food_responsiveness_adj_pval
2'FL [ug/mL]	0.0883561393754288	0.317483858425298	6.62603935495598e-05	0.0942022815300452	0.927802408548019	8	121	-0.0403484048674605	0.00748246322298538	0.337355670003723	0.775893999848585
3FL [ug/mL]	0.0146492322076978	0.868611336542298	0.000241888218031054	0.0287773540910605	0.0917300830825543	8	121	-0.0475314429622586	0.000744884854996294	0.762509197098186	0.897069643644925
LNnT [ug/mL]	-0.166422993086733	0.0584368029569424	-0.000678104368379237	-0.177463385538726	3.90155708107808	8	121	-0.0155789704237765	0.0307158087089214	0.0505179672723919	0.25258983636196
3'SL [ug/mL]	-0.0205025079870254	0.816902188583968	-2.57812085356485e-05	-0.0111376679545315	0.0140147315127286	8	121	-0.0482041689647046	0.000113878294562511	0.90595984095831	0.914461999622081
DFLac [ug/mL]	-0.00752700960625599	0.932266608958416	-4.20160655245991e-05	-0.0100257264920218	0.0115857018317791	8	121	-0.048225209256205	9.41428273411107e-05	0.914461999622081	0.914461999622081
6'SL [ug/mL]	0.0473746706019443	0.592485214308699	0.000228270026151215	0.052545307580257	0.325944714720688	8	121	-0.0455092275851632	0.00264169152653549	0.569115605607988	0.890623919648484
LNT [ug/mL]	-0.128255867748459	0.145882146370684	-0.000254962689375703	-0.125938817288331	1.84529223097717	8	121	-0.0325783954848329	0.0147706115586282	0.176859169805951	0.707436679223802
LNFP I [ug/mL]	0.0224579146174721	0.799790273106589	3.37565761704107e-05	0.033740311779455	0.123140108167332	8	121	-0.0472597938878443	0.000999687475183416	0.726263656081528	0.897069643644925
LNFP II [ug/mL]	-0.0787798670586838	0.372961826666807	-0.000194959676218179	-0.0812902847411583	0.750771472703267	8	121	-0.0418611168568015	0.00606356282988255	0.387946999924292	0.775893999848585
LNFP III [ug/mL]	0.0867306346008919	0.326503518299507	0.00274085895393806	0.107143868782494	1.32560157157641	8	121	-0.0369652232652669	0.0106558351134149	0.251859198829563	0.775893999848585
LSTb [ug/mL]	-0.0959667535528924	0.277421268535064	-0.00169060270610324	-0.103393876606877	1.07897628729089	8	121	-0.0390601117608926	0.00869086218340942	0.3009979298687	0.775893999848585
LSTc [ug/mL]	0.0417340526525179	0.637318604587387	0.000293522140266523	0.048875444610745	0.278493320709993	8	121	-0.0459182932730815	0.00225799425337174	0.598656843008225	0.890623919648484
DFLNT [ug/mL]	-0.20302315289889	0.0205231139867039	-0.000243397934528187	-0.207242961111665	5.03651130580792	8	121	-0.0064337185353569	0.039293913193408	0.0266362851016593	0.25258983636196
LNH [ug/mL]	0.0694729261299531	0.432211781859952	0.001513301377892	0.0936762266785899	0.804652228006364	8	121	-0.0414002455939197	0.00649585292917463	0.371487345605661	0.775893999848585
DSLNT [ug/mL]	-0.1809838696085	0.039336161636606	-0.000753523782363208	-0.198343673150782	4.30934987248722	8	121	-0.0122739833364842	0.0338158353566916	0.040021407538124	0.25258983636196
FLNH [ug/mL]	0.0575892192681333	0.515164736193145	0.000655829557947383	0.0664097547000977	0.45662172710338	8	121	-0.0443843484280073	0.00369681073596069	0.500496494343502	0.890623919648484
DFLNH [ug/mL]	0.0506764066604508	0.566924006727325	0.000204871306053836	0.0463150781501359	0.242307021376918	8	121	-0.0462304608107025	0.00196518594289011	0.623436743753939	0.890623919648484
FDSLNH [ug/mL]	0.0331883317910142	0.707769206062496	0.000156202378136635	0.0327658147865516	0.106883331570622	8	121	-0.0474003727553669	0.000867826676964487	0.744285578288859	0.897069643644925
DSLNH [ug/mL]	0.0323822368133168	0.714555876599383	0.000101776547121018	0.0198875590364833	0.045151269769287	8	121	-0.0479345385923577	0.000366787403508078	0.832083668490939	0.914461999622081
SUM [ug/mL]	-0.206674360014681	0.0183132921228363	-0.00023903754872308	-0.197639064294873	4.73837723705631	8	121	-0.00882003992767189	0.0370555807246475	0.0314386747430165	0.25258983636196
